,Golden_grains
98,1342984.8343056918
99,1347963.8737672493
100,1210137.862422369
101,1425989.6774440387
102,1452943.1125856927
103,1527322.926077105
104,1345995.1460138657
105,1259356.369857028
106,1439323.8681006124
107,1214089.3653518113
108,1492683.2485260773
109,1017857.9264627483
110,1254773.8802184057
111,1183225.0391689693
112,1331947.697112754
113,1270456.8887146064
114,1334329.627885585
115,1423228.3437812973
116,1017529.2312364066
117,1265041.7232996342
118,1550993.4508822667
119,1376373.2774247602
120,1189177.5563529925
121,1112119.0913169286
122,1140744.602110504
123,1115687.4903376184
124,1132722.9004437942
125,1311051.972126176
126,1191024.9246632482
127,1355536.6674300584
128,1185271.5539543608
129,1434350.1886628577
130,968387.447952711
131,1379057.2793947153
132,1213388.3353917857
133,1385720.7795201193
134,1300221.194011101
135,1409025.927405205
136,1045388.2837700167
137,1324524.8875380813
138,1176228.5637802319
139,1326191.3739582878
140,1397246.0318130583
141,1186536.1219233405
142,1361250.949164156
143,1419018.5808777977
144,1538174.0593725834
145,1482312.451445027
146,1343440.3682970412
147,1224267.7072014378
148,889782.8842596314
149,1421603.7805820864
150,1362032.6346187347
151,1415334.465283334
152,1386604.5153363578
153,1343140.0194232618
154,1523485.8794410955
155,1435223.7203248753
156,1211661.2624299636
157,1167371.4168841194
158,1428768.91810282
159,1061676.2979844457
160,1253972.3328117079
161,1263186.209871657
162,1625330.121026198
163,1303727.4863569422
164,1355517.8927310144
165,1096130.5489219476
166,996071.0269251119
167,1490051.625877801
168,1165720.8420417008
169,1176538.5979669788
170,1456636.5897993518
171,1297556.580673682
172,958742.8915492073
173,1054770.6032483068
174,1327299.1865458984
175,1302959.6110785843
176,1488120.2120743033
177,1230011.8104817132
178,1275746.9724580394
179,1436221.8779100797
180,1306916.9567178893
181,1307038.3721872617
182,1406336.2484760005
183,1229554.1153922686
184,949882.3606030775
185,1189682.6072549408
186,1156851.399658737
187,1334759.1677536895
188,1471651.5761094643
189,1173766.8045207418
190,1516264.7547108831
191,1395891.4552667914
192,1422920.3300548624
193,1151333.1476081277
194,1353024.9988027206
195,1058060.7165418249
196,1398714.0548706828
197,1095880.862229967
198,1098348.9816116714
199,1278251.865175424
200,1334269.6511264103
201,1541837.4101702673
202,1461923.92722905
203,1528605.8741887459
204,1435331.6754816354
205,1096105.5404208906
206,1383158.4412257795
207,1439093.822819002
208,1375515.4316848877
209,1358407.0379770328
210,1186219.711451681
211,1484967.3452576587
212,900394.8473875553
213,1359718.7088684519
214,1272700.0529675793
215,1569533.706972034
216,1437602.16217349
217,1389250.3084944296
218,1020990.2126093782
219,1230689.4405214346
220,1027771.1419945739
221,1292407.0089028988
222,1106049.0381069516
223,1484562.7394541944
224,1424162.9341685225
225,1160306.0782661638
226,1156238.433954907
227,1383260.6485626712
228,1449806.438751635
229,1364380.1634173691
230,1436227.2060581995
231,1289495.4983692362
232,1521675.7075122006
233,1427334.5901870115
234,1333959.4532861465
235,1446440.8785512387
236,1187981.470979938
237,1528380.0709075609
238,1232924.8265295078
239,1193059.94236901
240,1194981.814315571
241,1553714.2048770904
242,1553386.0159848132
243,1336034.7057095426
244,1455436.679690944
245,1281234.5825550824
246,1409671.407855266
247,1292868.3371567037
248,1323636.5948878326
249,1517967.665864137
250,1621181.2061549844
251,1376711.7166287312
252,1407689.648230346
253,1207458.7383466442
254,1342056.5062465838
255,1178542.6995348372
256,1081721.7970647172
257,1464919.636727498
258,1388636.1986393551
259,1260827.8049841148
260,1129382.608539089
261,1295873.1709996434
262,1561748.1047466227
263,1399709.7144200949
264,1122293.6008926672
265,1247506.000427493
266,1237921.182683884
267,1165360.4165641223
268,1213110.3109840187
269,1167797.0186302452
270,1058599.3473153505
271,1438129.5688332922
272,1272741.7808128812
273,1289215.383780771
274,1400496.7627262129
275,1509961.9797979468
276,1202186.700376325
277,1339604.0812553854
278,1430147.971059615
279,1132493.5785050606
280,1122133.6251655957
281,1500311.4433213603
282,1023698.8446989979
283,1573686.9981262772
284,1346020.8044118166
285,1193233.0711083312
286,1332769.9622390573
287,1027993.9787183399
288,1399966.160211614
289,1159049.9517516529
290,1200332.0570555797
291,905886.0692565939
292,1142487.151185999
293,1453001.2723233826
294,1442909.791888811
295,1067865.1280393004
296,1480674.477966983
297,1308153.5516360821
298,1518000.64436103
299,1427934.3302563555
300,1348449.3911220448
301,1246852.652429174
302,1089608.8329950934
303,1211997.956148601
304,1436039.7456421363
305,1451709.8420113083
306,1439102.9208877194
307,1221628.6456512683
308,1546574.837964965
309,1403824.1423226641
310,1472899.9052513472
311,1349112.150469584
312,1321868.2603817475
313,1255221.063889049
314,1334580.5940272813
315,1503331.4958581808
316,1304871.762346571
317,1473006.976668459
318,1334809.6445171756
319,1490368.1896475346
320,1491667.327480194
321,1425719.3893549554
322,1311217.6893227003
323,1390345.4632448466
324,1659598.2244259547
325,1477362.569263039
326,1364371.0999128814
327,1250037.3977731061
328,1381742.5131938374
329,1395455.1019588222
330,1346875.0270038717
331,1030404.0139448375
332,1635910.3939689323
333,1372008.2174342612
334,1445623.1391158458
335,1255991.0809560458
336,1473920.2166094296
337,1062434.4193734003
338,1309985.124948795
339,1518158.8705062948
340,1451274.6370294539
341,1277061.7592297995
342,1335980.7257565511
343,1419661.5004140076
344,1434672.6744793502
345,1546196.4268581138
346,1462913.1170298262
347,1302626.8455071836
348,1108195.9280904215
349,1321630.070272783
350,1382648.5293694476
351,1308155.8105804978
352,1287871.5698924519
353,1402193.3017298107
354,1465723.6762253079
355,1361365.3273481147
356,1227124.575268064
357,1633046.1975465412
358,1267173.2069806221
359,1318751.4998189777
360,1330870.1887192116
361,1395800.7853342923
362,1487526.259324629
363,1265548.028313549
364,1306559.7379863441
365,1120656.744917884
366,1602144.3988811786
367,1357658.6122578753
368,1163929.5268189507
369,1571579.4182862795
370,1271907.0641547674
371,1325823.5008200444
372,1512231.2841662078
373,1364621.7054703892
374,1383918.9927828622
375,1242901.3450367658
376,794233.1734128825
377,1389547.6179583804
378,1300592.1093445667
379,1370445.8674909724
380,1023251.6990492776
381,1284963.327034876
382,1420014.6197881207
383,1192198.5872804841
384,1436885.4927170048
385,1204250.142814194
386,1342068.1832470528
387,1498123.74540557
388,1426248.6257320687
389,1275486.9570788112
390,1413142.0273140457
391,875777.3782788017
392,1307513.9545320093
393,1241479.1936973997
394,1301385.2397587067
395,1354830.0198190464
396,1337713.4179708415
397,1473561.713815136
398,1279745.3780596468
399,1269147.0372846036
400,1277009.333279419
401,1429777.6299710397
402,1473417.3327984435
403,1251558.9010939482
404,1245668.9945397165
405,1526518.0133180167
406,1281407.4921343508
407,1436916.1183294882
408,1361521.7610277515
409,1463453.0865807796
410,1282630.5912088098
411,1090353.745765435
412,1357027.4625451034
413,1336505.1312414235
414,1400771.8967678018
415,1292959.1989628125
416,1447786.2299858583
417,1347339.5608760742
418,1341058.5041615847
419,1208131.0013533593
420,1046537.9574999877
421,1452418.3646354664
422,915936.3537006655
423,1308627.1490525936
424,1418631.6088481362
425,1303144.0592151303
426,1429262.3076476706
427,1532492.5634545106
428,1369993.7559932033
429,1414662.1748554874
430,1359856.487254187
431,1297527.6677725452
432,1218960.3235321557
433,1346959.1746190237
434,1162934.3089238019
435,1425293.598127133
436,1321129.7352545732
437,1345453.4393180523
438,1018122.4334417993
439,1327721.3084950687
440,1226530.8176337292
441,1171420.908598767
442,1350635.2918875825
443,1303999.0937133133
444,1113640.3182699694
445,1288489.1598481406
446,1352735.4416635206
447,1260262.6006669658
448,1401703.7100069372
449,1323175.6063480151
450,1455505.6714575556
451,1087080.5201503385
452,1128973.847029315
453,1125109.4994155911
454,866366.246457026
455,1464395.9587730553
456,1131237.140417894
457,1385264.9546822507
458,1292175.0834302488
459,1507199.6978206506
460,1438754.6540508766
461,1386466.8576873092
462,1366834.6738522332
463,1506458.731260331
464,1160426.715749809
465,1616101.3333992097
466,1358374.3756571808
467,1415937.6159839444
468,1370417.8398269727
469,1015512.183956943
470,1195714.5140311054
471,1392581.8605577622
472,1333837.1547994511
473,1254034.4797424672
474,1488858.9714915452
475,1391282.882201958
476,1341575.302884878
477,1470427.084632469
478,1153084.6011782226
479,1370324.4920529996
480,1396275.246444743
481,1321643.830780905
482,1314023.3250320535
483,1267573.0279786556
484,1296968.6626004474
485,1459834.6034556287
486,1395526.1312655471
487,1354033.8561699968
488,897665.8178889184
489,1275026.6614662667
490,1106948.505555942
491,1382043.2343876523
492,1291203.6056076535
493,1198173.8640975363
494,1459566.3029864002
495,1216883.132292005
496,1295436.7097866356
497,1440456.5558346706
498,1315030.547963412
499,730466.1720005523
500,1304366.81762333
501,1274766.395318835
502,1383868.2713827787
503,1354822.3971328086
504,1351657.205457838
505,1370871.0590077974
506,1101755.5683939673
507,1481875.2043414554
508,913557.8307127932
509,1038055.3796364599
510,1277690.6101857866
511,1311777.341699952
512,1230629.7720333065
513,1309251.781846355
514,1450151.4676527241
515,1301269.6796787195
516,1235704.4893726027
517,1230194.6503485867
518,1481216.2981459275
519,1467300.7239351582
520,1491240.2291338674
521,1258184.2581122378
522,1269804.3662737296
523,1227722.2438477534
524,1421210.9268089265
525,1462760.5099724107
526,1440278.3148410823
527,1284353.9270721853
528,1314553.1185983657
529,1335922.600106349
530,1490376.5733874817
531,1196380.1805652285
532,1541710.8963319182
533,1375076.0058552593
534,1288059.1649641842
535,1266976.4621556576
536,1250178.7891489386
537,1382957.0392208423
538,1127451.9680425797
539,1551546.10326695
540,971210.7695820929
541,1078258.0154083986
542,1329699.1936264336
543,1188757.5643814174
544,1235907.123399585
545,1387474.2899590123
546,1403684.0873154448
547,1451831.251045371
548,1043452.2497822567
549,1269474.0375516815
550,1322219.8608383075
551,1389572.9627600678
552,1336126.8196003737
553,1224142.228117932
554,1442433.7900611768
555,1045845.2322953334
556,1427005.311556739
557,1114854.0069205945
558,1402012.478219799
559,1323066.550792378
560,1204519.246358704
561,1098416.3222418784
562,1651614.911913998
563,1187173.375430678
564,1350145.6335778441
565,1266307.3243794856
566,1113643.3932864172
567,1139357.3243853222
568,1150898.3903858112
569,1437871.8596629584
570,1237303.7605753315
571,1293995.4553629637
572,1569292.942200524
573,1136340.778988129
574,1120576.6284439303
575,1203294.0882499358
576,1209124.1016191475
577,1546426.3923291545
578,1432636.6309323206
579,1369543.6893695802
580,1188992.2258016008
581,1245865.1139207578
582,1466984.4962945913
583,1389625.8157062924
584,1439164.0816200445
585,1601683.622951464
586,1127342.4763165328
587,1226845.105484263
588,1481614.5742780406
589,1342127.8442659944
590,1406672.76192013
591,1107223.8233179718
592,1404248.4538854335
593,997123.9556592988
594,1670147.0826709399
595,990582.8490253488
596,1297359.7708246633
597,1262006.7830105152
598,1350561.6291819967
599,928143.7474240308
600,1379734.9256781037
601,1368487.1850002564
602,1514059.7540777272
603,1429724.9565558548
604,994076.7756699454
605,1369411.9842066485
606,1420946.5631545135
607,1435756.8445511118
608,1393835.3642051434
609,1531619.1842050299
610,1461090.3643464923
611,1535000.6723011616
612,1104127.9468979847
613,1375419.402169426
614,1241073.390109848
615,1509834.3621921274
616,887846.6944766636
617,1218518.5213818483
618,1186738.3138671448
619,1191841.82959588
620,922949.9044889407
621,1407360.676186711
622,1341245.5692553527
623,1321401.1819336342
624,1435341.7934122488
625,1364026.2594409094
626,1161253.2616578618
627,1173003.728447609
628,1321937.3057514662
629,1444859.3079875845
630,1531672.2535852573
631,1164391.3368429595
632,1410960.9691009214
633,917727.0695959865
634,1250090.932735274
635,1472051.9946752873
636,1501610.9817615193
637,1164877.3493936385
638,1484746.9750200596
639,1127028.5033131763
640,1488437.7139837518
641,1234550.8160760545
642,1382927.624646105
643,1174038.7840056883
644,1408284.779545332
645,1356145.480070689
646,972201.3194044539
647,1388083.347579049
648,1298054.2738247863
649,1426701.7702217991
650,1349687.5652713403
651,1509345.2912710705
652,1147791.5856843188
653,1384541.5022198362
654,1386738.617459172
655,1149749.6069459706
656,1112298.217381896
657,1199724.4553070224
658,1114581.8800842946
659,1441241.1078361669
660,1119677.8598797454
661,1309834.7707885853
662,1398557.6193012404
663,1037470.1822651019
664,1476887.8324510737
665,1224737.7826639814
666,1334505.8311903782
667,1192336.6899092577
668,1401383.5757070442
669,1291063.9135970806
670,1327928.6215355461
671,1330890.4086868884
672,1041344.1996413342
673,1557857.9497000806
674,1097014.2541617423
675,1420302.8345809127
676,1489192.009116757
677,1204136.4020842346
678,970429.3382317096
679,1236730.7475208275
680,1222100.3055468122
681,1316290.7932296575
682,1260175.2436917764
683,1360607.9951702303
684,1288319.982297107
685,1187606.6991610217
686,1428040.7917934365
687,1203221.9820101394
688,1263852.8353974735
689,1270367.8689104281
690,1327689.424207055
691,1133079.6334493395
692,1301943.8888754568
693,1333426.2986335924
694,1513696.3505534441
695,1288281.4903019052
696,1547362.6014595963
697,1472515.8226212636
698,1354593.0632971255
699,1529915.8443972184
700,1308967.8898305548
701,1455192.381774661
702,1621585.5438774386
703,1242111.9871480812
704,1234418.9763102322
705,1456896.8392807778
706,1487189.7456055623
707,1004042.5027669545
708,1439829.7094053456
709,1022341.9000736249
710,1431289.0110906009
711,1205134.8594704056
712,1152640.1332926438
713,1169407.6834324228
714,1011495.8398244284
715,1191166.4787658532
716,1354127.8613592067
717,1298685.7928199791
718,1365742.9276382045
719,1472075.7144090142
720,1262041.2288131868
721,1399149.2720275044
722,1245772.2662159787
723,1376634.7237879827
724,1392928.794316007
725,1211097.202288572
726,1337355.994403767
727,1183809.7024768721
728,1456776.6881157502
729,1480523.7342929544
730,1200095.0452711994
731,1469828.3301606132
732,1345906.0551526211
733,1530666.4568623246
734,835374.0749306477
735,1536260.7039627787
736,1382406.8650652173
737,1471664.3031837847
738,1459208.6367502313
739,1326640.1267605927
740,1021406.2708103292
741,1530003.639510746
742,1363071.7829867613
743,1101010.7873022552
744,1239800.0988917632
745,1206438.9625643198
746,1218408.488844557
747,1632395.241235427
748,1500380.4991158408
749,1525522.3589210408
750,1516533.5802211312
751,1250222.1023603745
752,1360466.3857557615
753,1208379.4010408844
754,1222120.6247048518
755,1161502.9130767435
756,1478561.6233236755
757,1375967.596071087
758,1204996.2829211312
759,1389885.5478229867
760,1291512.9071147137
761,864765.1483794787
762,1451025.2891560881
763,1281211.0670891842
764,1291343.6458081692
765,978902.8396478432
766,1384464.378325869
767,1292164.0816694978
768,1267202.560820946
769,1330434.526652076
770,1370966.8477002322
771,1384417.0519840324
772,1316470.57842991
773,1454699.526295117
774,1505382.5700031093
775,965922.3183687995
776,1045015.6078529358
777,1163670.7401665077
778,1340786.1749322368
779,1446060.8475235158
780,1216252.6185027526
781,1368784.4098077447
782,1079079.8502626102
783,1457427.5706606524
784,1415392.3959146354
785,1174270.445420446
786,1272914.4479353833
787,1236631.0107538009
788,1436806.8196582282
789,1314246.2984757784
790,1165171.0368758782
791,1359902.8241123173
792,1503898.2894702216
793,1066674.8246434475
794,1404454.5945610832
795,1385783.2295111371
796,1408471.2833042
797,1395958.9756181156
798,1486517.7807594151
799,1412892.2659798465
800,1218048.9917454221
801,1195128.904272995
802,1332783.197445705
803,1295185.503160296
804,1378020.263348211
805,1360337.9549381614
806,1023105.7570149988
807,1354849.1783810467
808,1556669.3662622373
809,1082070.3909491631
810,1264287.1850453543
811,1174938.8995964068
812,1304434.2371829331
813,1220147.6780013097
814,1180044.0419240443
815,1424807.2261678306
816,1430830.4532407818
817,1345033.2520050034
818,1376424.6343776872
819,1260498.9071012523
820,1236261.1743614296
821,1492109.4536070325
822,1077368.9780227616
823,859936.5166656411
824,1178042.8046582832
825,1407211.6703517523
826,1467911.0442987913
827,1214834.345723812
828,1335667.446615488
829,1287034.0543081127
830,1376196.558091449
831,974607.8874272731
832,1352395.7137172837
833,1251955.845151089
834,1432024.8983562954
835,1098707.6583792996
836,1462856.2186498183
837,1305529.10128692
838,1414408.686303934
839,1238300.85889979
840,1446667.7356387048
841,1427052.6859949091
842,1551184.9275849897
843,1524943.4520355705
844,1146208.811284213
845,1279878.3832043582
846,1349549.87469702
847,1271630.8628795892
848,1328669.3447513727
849,1404319.286785628
850,1329465.6067445534
851,1437631.6470059978
852,1409826.92755298
853,1433655.7544035774
854,1437916.9795201388
855,1284301.212369106
856,1150760.4355874541
857,1320545.3733291088
858,1252695.4572365885
859,1032731.9262394516
860,1057007.189736932
861,1459116.127666332
862,1479075.8067719094
863,1369947.7000407418
864,1444748.6708489123
865,1517635.9762604013
866,1329284.0798383
867,925682.3777312962
868,1382719.6885585035
869,1471969.8945331664
870,1390815.8814146286
871,1435243.9476983312
872,892912.1988590986
873,1545858.7729321409
874,1045558.2431398822
875,1373930.8003682543
876,1476362.3392905407
877,1269098.8009104484
878,1310827.7920131988
879,1506694.6926911727
880,1126561.6005237633
881,1375091.8100004965
882,857826.4300829171
883,1309422.9560789973
884,1374771.8029836253
885,964431.4511884395
886,1185663.491877994
887,1249090.6539637402
888,1527401.594947406
889,1164939.5364361315
890,1367102.8214140986
891,1237575.1487385365
892,1344101.7612199266
893,1174972.190836764
894,1407892.8361112108
895,1364672.0744112867
896,1463219.3195608552
897,1435404.3326036735
898,1393039.0489556761
899,1456161.0605996812
900,1458760.120237684
901,1142951.310248992
902,1628143.8048011882
903,1399972.2298131357
904,850496.0332908008
905,1595615.531935783
906,1045467.2438341092
907,1348078.2199287263
908,967518.7661482714
909,1565851.7418686245
910,1441606.9434518341
911,1239352.3524063146
912,1315820.120850386
913,1292704.4970845187
914,1357653.9980652006
915,955378.5583619007
916,1493651.4201590747
917,1427385.0480381576
918,1012060.2337163885
919,1433627.5652412311
920,1506006.164654233
921,1243539.8125967027
922,1455049.9527355176
923,1533758.3000704185
924,1359327.893584529
925,1157252.5259567748
926,1002272.9820471647
927,1187322.1863684254
928,1160417.4060074661
929,1433275.8420824637
930,1120879.8949492832
931,1448604.0921598847
932,1073896.8328238952
933,1540001.0252627698
934,1236006.4063845377
935,1475325.4127462695
936,1406916.6325820084
937,1521365.893515352
938,1293165.1441844883
939,1549128.8066817112
940,1361563.290555893
941,1133985.477180475
942,1355755.873417083
943,1443947.474115672
944,864830.5924767251
945,1351433.6283736671
946,1364387.4380313512
947,1431926.7422805205
948,1410808.0267966248
949,1376230.0816687264
950,1229660.8630483896
951,1463575.602052943
952,1520378.0180700782
953,1304282.8277679796
954,1267868.3122279218
955,1431023.4401388622
956,1279610.750584734
957,1319500.0224214825
958,1454610.6601253075
959,1195562.21796678
960,1224111.775867959
961,799955.066917161
962,1498675.1764306454
963,954806.6084988182
964,1384421.7576019363
965,1435656.8135319084
966,1349917.38878822
967,1208779.0870761941
968,917186.701205856
969,1318327.90714683
970,1495558.3113174015
971,1319736.406864927
972,1230671.626904459
973,1417913.2727785807
974,1197647.8259275109
975,1145526.9722517054
976,1129178.276719587
977,1497100.8361355776
978,1301757.9046153107
979,1311751.6502919984
980,1502486.6742917513
981,1245564.0658148895
982,1260883.5398720826
983,1354570.7870990103
984,1344724.4187931654
985,1491269.1012230734
986,1207312.9744030347
987,1238952.0409396784
988,1318804.784552314
989,1479196.2147198932
990,1343936.2912664928
991,1442753.7175963342
992,1429646.840113788
993,1105353.5962613863
994,1376974.4504570954
995,1451646.5172303973
996,1371957.8972102457
997,1459668.3206484718
998,848184.4279741677
999,1316445.9756584591
1000,1428406.466621281
1001,1333945.8291127353
1002,1138720.4447575663
1003,1274097.2809048723
1004,1095380.009377204
1005,1571599.8573761492
1006,1305771.8686091711
1007,959901.7515021727
1008,992818.3455344796
1009,1224203.6778131104
1010,1417134.556254028
1011,1355359.8755273088
1012,858457.3275733353
1013,1167251.419517515
1014,1248746.0841352702
1015,1329711.747876069
1016,1476795.5583853438
1017,1297124.077545344
1018,1421440.9645353702
1019,1390638.1014949656
1020,1302600.4404579697
1021,1293709.6327976042
1022,1173599.3049579018
1023,1482350.085254276
1024,1023120.0961624068
1025,1453187.2390058283
1026,1432095.4845331567
1027,1218346.3395651805
1028,1496230.122712954
1029,1186845.130707325
1030,1549755.2394478854
1031,1351706.0513633708
1032,1311434.2260114572
1033,983221.7605741458
1034,1353662.0413216718
1035,1426473.5690880972
1036,1274778.4916594694
1037,1201835.2655488981
1038,1141370.6330422536
1039,1404535.4812733852
1040,1538675.8207691095
1041,1446510.4134770911
1042,1074824.1008615843
1043,1230706.4231464735
1044,1206186.54873464
1045,1379769.7184203295
1046,1467192.922362443
1047,1503555.4170339818
1048,1155544.057344541
1049,1242918.6528058038
1050,1178740.710323434
1051,1445668.6714743057
1052,1202883.3813412227
1053,854626.4725125568
1054,1366561.5849891128
1055,1193006.1800970647
1056,1425568.0588086357
1057,980018.3057957283
1058,1261194.218652914
1059,1282256.7896052464
1060,1235039.5597597796
1061,1148512.4933288295
1062,1518456.6632164924
1063,1333252.4780343184
1064,1355875.3490079814
1065,1401143.0867901384
1066,1358251.8261009345
1067,1565594.3114952995
1068,1304522.1965485648
1069,911452.8976767424
1070,1280394.5189244747
1071,1446282.148155867
1072,1476136.3323958146
1073,1191942.0961375218
1074,918606.379493991
1075,1059207.6627266866
1076,1258325.080466419
1077,1148592.9647926695
1078,1386624.4479951991
1079,1342353.5402125206
1080,1437388.349821657
1081,1300107.3327955035
1082,1486193.7504693142
1083,1263598.7827407708
1084,1238325.482422287
1085,1439866.1480438143
1086,999970.5409770418
1087,1381296.6170258687
1088,1110769.878148538
1089,1271989.4718836602
1090,1182016.454490164
1091,1216055.0364151231
1092,942719.805152689
1093,1280977.5074223343
1094,1290169.3521443373
1095,999077.3937050699
1096,1577958.237641906
1097,1293327.8255464185
1098,1409611.85415293
1099,1404709.663036999
1100,1418160.4394672199
1101,1058705.4826851515
1102,1294607.0767181113
1103,1167267.0339928386
1104,1325772.3188213904
1105,1116400.1472010203
1106,1278720.707477368
1107,1298398.2714847184
1108,1446340.1775396923
1109,1391768.7763590002
1110,1446222.8955908201
1111,1339873.5844407165
1112,1284727.044273882
1113,1212937.3163825516
1114,1505969.183330256
1115,1329164.3789532294
1116,1239337.0661778012
1117,1467383.1914025631
1118,1438027.4689250148
1119,1454562.2246727794
1120,1205399.0268853633
1121,1280367.1965811858
1122,1307600.2355436836
1123,806052.9498817575
1124,1217362.152732287
1125,1355779.9500544018
1126,1433126.3040289662
1127,1457186.7046865474
1128,1488120.5628486662
1129,1480026.0786791993
1130,1448971.2726707945
1131,1299696.563073818
1132,1389131.5614854253
1133,1149993.3436690564
1134,1139886.972958348
1135,1206551.9970823242
1136,1430711.4805763126
1137,1234966.1059809623
1138,1422167.1969378372
1139,1012021.3033412426
1140,1235360.7333515438
1141,1380710.5256672965
1142,1159054.9215868674
1143,1410563.9606413261
1144,1515116.981551559
1145,1386655.7548128113
1146,1174403.8834423989
1147,1394496.5998341604
1148,1236002.696287209
1149,1402298.02190783
1150,1332245.108159542
1151,1201521.9497255366
1152,1348967.6517813958
1153,1328276.8888076218
1154,1463854.127962085
1155,1313663.6443837825
1156,930232.8285625991
1157,1080465.0468848185
1158,1403301.792693186
1159,1171784.7553006306
1160,1324052.87533312
1161,1349788.1231358286
1162,1034396.1979578331
1163,1537886.774510828
1164,1465321.45206232
1165,1435239.9444657555
1166,1553620.6343015973
1167,1312338.712308971
1168,1441410.610715062
1169,1426956.8094960407
1170,1445383.6661847124
1171,756318.3393127439
1172,1362524.9502703783
1173,987304.5335737034
1174,1324891.2691901668
1175,1238458.959072862
1176,1094974.492834152
1177,1477442.1568709826
1178,1308455.96440953
1179,876980.7726843011
1180,1378702.884620947
1181,1296295.3748501383
1182,1424376.436526281
1183,949004.2535269693
1184,1004270.1556705013
1185,1362180.576362439
1186,1452249.2118785142
1187,1144825.4992423803
1188,1114474.349175822
1189,1302522.7116103063
1190,1449340.2457601482
1191,1316114.820235021
1192,1070791.7934771634
1193,1383264.558227887
1194,1351072.6293498636
1195,1170600.04341889
1196,1227172.6404115625
1197,1313637.7502564215
1198,1062957.1610351526
1199,1398184.2249791583
1200,1302161.502763086
1201,1390499.3858774912
1202,1071789.5444934797
1203,1272970.6960261606
1204,1485284.6590402243
1205,1461376.9660058883
1206,1159778.8939368015
1207,1448283.7392211445
1208,1196948.6118614608
1209,1243327.5619840121
1210,1400903.492961794
1211,1175924.1512763712
1212,1249390.7216280312
1213,1350313.633047653
1214,1549255.8355380665
1215,866256.7100777378
1216,1573225.5292647977
1217,1373019.4792691467
1218,1553736.5714737624
1219,1109508.1504657236
1220,1325041.3416221705
1221,962579.0259023191
1222,1135751.4877399602
1223,1453394.4586141228
1224,1442168.6661869276
1225,1213035.783451146
1226,1098665.3431887259
1227,1552331.6124565275
1228,1336281.4789042042
1229,1529977.7777543515
1230,1315921.5826459792
1231,1498552.4500021785
1232,1479763.5667304168
1233,1346134.5348670292
1234,1361333.9217729822
1235,1376941.1039219606
1236,1201832.9184144
1237,1257175.8801626326
1238,1454638.083224291
1239,939121.3437810756
1240,1486815.902027936
1241,1350242.5082183422
1242,1117969.800767944
1243,1103302.103536006
1244,1252894.5641417324
1245,1264287.2864502426
1246,1322905.547180372
1247,1349901.7808527197
1248,1367741.4694699084
1249,1391361.1715459109
1250,1424940.1532070509
1251,1131549.1599061014
1252,1153712.3877423669
1253,1090910.5133232286
1254,1473456.8395444988
1255,1196265.3903261176
1256,1024915.2750556649
1257,1230355.0661188513
1258,1285141.96699832
1259,1132004.1547702174
1260,1365116.788769547
1261,1565925.628609154
1262,1347579.7070212585
1263,1500655.3036926822
1264,1355971.4603204848
1265,1167319.136033842
1266,1401809.782101875
1267,1218984.2045857245
1268,1229319.475242738
1269,1442539.2424084074
1270,1411045.720788974
1271,1357083.3941149001
1272,1312698.8293336367
1273,1148922.4067957532
1274,925226.7397962407
1275,1051519.2350326562
